category_name,source_provider,date,time,text_head,detailed_text,amount
health_and_fitness,Anytime Fitness,2024-10-11,41-13-11,Workout with the Best!,Nike Training Club - Personalized workout plans!,1627
travel,MakeMyTrip,2024-07-25,41-13-11,Fly at Unbeatable Prices!,Expedia - Book your flight now and save ₹4891!,4891
savings_and_investments,Betterment,2024-08-15,41-13-11,Smart Investing Starts Here!,Vanguard offers higher returns on your savings!,1855
chill_trill,Disneyland,2024-06-19,41-13-11,Exciting Adventures Await!,Escape Room challenge - Enter for just ₹878!,878
music_and_entertainment,Netflix,2024-08-30,41-13-11,Your Entertainment Hub!,Spotify Premium now just ₹1978/month!,1978
travel,Expedia,2024-05-07,41-13-11,Your Next Adventure Awaits!,MakeMyTrip offers 30% off on hotels this weekend!,987
beauty_and_apparel,H&M,2024-11-06,41-13-11,Beauty Deals Inside!,Sephora - Get ₹4419 off on skincare today!,4419
education,edX,2025-01-11,41-13-11,Exclusive Learning Discounts!,Udemy - Enroll for ₹3117 only on top courses!,3117
music_and_entertainment,Apple Music,2024-03-04,41-13-11,Music & Movies Galore!,Spotify Premium now just ₹3844/month!,3844
travel,Airbnb,2025-01-01,41-13-11,Exclusive Travel Offers!,MakeMyTrip offers 30% off on hotels this weekend!,3032
home_and_living,Wayfair,2024-05-02,41-13-11,New Arrivals for Your Living Space!,Target has new arrivals! Get the best home essentials!,2534
music_and_entertainment,Apple Music,2024-09-22,41-13-11,Your Entertainment Hub!,Disney+ streaming pass - Get ₹1153 off now!,1153
music_and_entertainment,Spotify,2024-04-29,41-13-11,"Stream More, Pay Less!",Spotify Premium now just ₹3745/month!,3745
savings_and_investments,Fidelity,2024-12-14,41-13-11,Smart Investing Starts Here!,Vanguard offers higher returns on your savings!,3340
misc,Best Buy,2024-06-21,41-13-11,Hidden Gems Just for You!,Etsy has unique handmade crafts for ₹1974!,1974
food_spending,Domino's,2024-05-30,41-13-11,Tasty Treats Await!,McDonald's special deal - Get ₹4904 off on combos!,4904
food_spending,Swiggy,2024-05-08,41-13-11,Delicious Deals Just for You!,Zomato is offering 20% off on your next order!,1551
chill_trill,Universal Studios,2024-05-01,41-13-11,Exciting Adventures Await!,Six Flags is offering unlimited rides at ₹1026!,1026
education,Coursera,2024-04-10,41-13-11,Boost Your Skills!,Udemy - Enroll for ₹3093 only on top courses!,3093
beauty_and_apparel,H&M,2024-03-04,41-13-11,Fashion Trends You Need!,Sephora - Get ₹663 off on skincare today!,663
music_and_entertainment,Amazon Prime,2024-07-20,41-13-11,"Stream More, Pay Less!",Disney+ streaming pass - Get ₹324 off now!,324
food_spending,Uber Eats,2024-12-02,41-13-11,Tasty Treats Await!,Zomato is offering 20% off on your next order!,3104
education,Khan Academy,2024-05-19,41-13-11,Exclusive Learning Discounts!,Udemy - Enroll for ₹3876 only on top courses!,3876
misc,Best Buy,2024-11-21,41-13-11,Hidden Gems Just for You!,Etsy has unique handmade crafts for ₹4961!,4961
home_and_living,Amazon,2024-03-12,41-13-11,New Arrivals for Your Living Space!,Target has new arrivals! Get the best home essentials!,3767
travel,Airbnb,2024-07-17,41-13-11,Fly at Unbeatable Prices!,MakeMyTrip offers 30% off on hotels this weekend!,2160
education,edX,2024-12-20,41-13-11,Enroll Now for Less!,Udemy - Enroll for ₹4112 only on top courses!,4112
education,Khan Academy,2024-07-08,41-13-11,Enroll Now for Less!,Udemy - Enroll for ₹420 only on top courses!,420
home_and_living,Wayfair,2024-08-28,41-13-11,Upgrade Your Home!,Wayfair flash sale - Upgrade your home decor!,2116
music_and_entertainment,Netflix,2024-02-06,41-13-11,Music & Movies Galore!,Netflix binge-watch special at ₹4504 per month!,4504
beauty_and_apparel,Nike,2024-06-12,41-13-11,Beauty Deals Inside!,Sephora - Get ₹4550 off on skincare today!,4550
home_and_living,Target,2024-06-21,41-13-11,New Arrivals for Your Living Space!,Wayfair flash sale - Upgrade your home decor!,434
savings_and_investments,Wealthfront,2024-10-09,41-13-11,Grow Your Wealth!,Invest ₹3750 today and grow your wealth!,3750
home_and_living,Walmart,2024-11-25,41-13-11,Limited Time Home Deals!,Target has new arrivals! Get the best home essentials!,4046
chill_trill,VR World,2024-04-20,41-13-11,Experience Thrill!,Disneyland - Exclusive family passes now available!,2816
beauty_and_apparel,Sephora,2024-12-09,41-13-11,Fashion Trends You Need!,Zara exclusive sale - Fashion at unbeatable prices!,2386
music_and_entertainment,Apple Music,2024-04-23,41-13-11,Your Entertainment Hub!,Spotify Premium now just ₹4215/month!,4215
savings_and_investments,Betterment,2024-07-26,41-13-11,Maximize Your Returns!,Vanguard offers higher returns on your savings!,2443
misc,eBay,2024-05-11,41-13-11,Unbelievable Finds!,Etsy has unique handmade crafts for ₹2357!,2357
savings_and_investments,Fidelity,2024-08-03,41-13-11,Maximize Your Returns!,Robinhood - Start investing with zero commission!,3934
travel,Airbnb,2024-02-06,41-13-11,Your Next Adventure Awaits!,Expedia - Book your flight now and save ₹2350!,2350
misc,Etsy,2024-03-11,41-13-11,Shop the Best Deals!,Etsy has unique handmade crafts for ₹4269!,4269
food_spending,Domino's,2024-10-08,41-13-11,Tasty Treats Await!,Zomato is offering 20% off on your next order!,4231
music_and_entertainment,Disney+,2024-09-01,41-13-11,"Stream More, Pay Less!",Spotify Premium now just ₹239/month!,239
health_and_fitness,Anytime Fitness,2024-03-24,41-13-11,"Fitness Goals, Made Easy!",Nike Training Club - Personalized workout plans!,893
travel,Skyscanner,2024-05-12,41-13-11,Your Next Adventure Awaits!,Airbnb special stays at just ₹2956 per night!,2956
home_and_living,Amazon,2024-10-20,41-13-11,Limited Time Home Deals!,Target has new arrivals! Get the best home essentials!,87
misc,AliExpress,2024-03-27,41-13-11,Shop the Best Deals!,eBay - Exclusive gadgets at just ₹4956!,4956
chill_trill,Escape Room,2024-12-03,41-13-11,Exciting Adventures Await!,Escape Room challenge - Enter for just ₹1832!,1832
beauty_and_apparel,H&M,2024-08-30,41-13-11,Fashion Trends You Need!,Zara exclusive sale - Fashion at unbeatable prices!,4763
misc,AliExpress,2024-10-07,41-13-11,Hidden Gems Just for You!,Best Buy deals - Save big on electronics!,3747
home_and_living,Amazon,2024-09-15,41-13-11,Limited Time Home Deals!,Amazon - Flat ₹779 off on furniture this week!,779
music_and_entertainment,Netflix,2024-07-07,41-13-11,Music & Movies Galore!,Disney+ streaming pass - Get ₹3663 off now!,3663
savings_and_investments,Wealthfront,2024-03-23,41-13-11,Smart Investing Starts Here!,Invest ₹1616 today and grow your wealth!,1616
